层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1,整体DNU,42443.714286,42277.428571,44210.285714,45928.142857,47333.857143,42419.0,166.285714,0.39332
1.1,渠道 DNU,16449.714286,17167.571429,17285.142857,18954.142857,18273.571429,16875.0,-717.857143,-4.181472
1.1.unknow,unknow DNU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.不丹,不丹 DNU,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
1.1.东帝汶,东帝汶 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1.1.中国,中国 DNU,1.4,1.0,1.0,2.0,1.0,1.0,0.4,40.0
1.1.中国台湾,中国台湾 DNU,1.0,1.4,1.5,1.0,2.0,1.0,-0.4,-28.571429
1.1.中国澳门,中国澳门 DNU,0.0,0.0,1.0,0.0,1.0,1.0,0.0,
1.1.中国香港,中国香港 DNU,85.0,12.0,11.857143,13.571429,5.857143,3.428571,73.0,608.333333
1.1.中非,中非 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.丹麦,丹麦 DNU,2.0,1.333333,1.166667,1.75,1.4,1.8,0.666667,50.0
1.1.乌克兰,乌克兰 DNU,25.285714,21.857143,21.285714,22.285714,25.142857,28.285714,3.428571,15.686275
1.1.乌兹别克斯坦,乌兹别克斯坦 DNU,5.714286,3.714286,5.714286,3.714286,6.571429,4.285714,2.0,53.846154
1.1.乌干达,乌干达 DNU,1.5,1.0,1.0,1.5,1.0,1.4,0.5,50.0
1.1.乌拉圭,乌拉圭 DNU,2.4,1.333333,1.4,1.8,2.0,3.166667,1.066667,80.0
1.1.乍得,乍得 DNU,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
1.1.也门,也门 DNU,1.0,0.0,0.0,1.5,1.0,0.0,1.0,
1.1.亚美尼亚,亚美尼亚 DNU,2.714286,2.666667,2.0,1.8,2.333333,2.666667,0.047619,1.785714
1.1.以色列,以色列 DNU,3.0,2.0,3.142857,2.6,3.571429,2.166667,1.0,50.0
1.1.伊拉克,伊拉克 DNU,7.285714,6.285714,6.571429,6.714286,8.285714,5.285714,1.0,15.909091
1.1.伊朗,伊朗 DNU,626.857143,108.428571,50.428571,40.428571,27.333333,1.0,518.428571,478.129117
1.1.伯利兹,伯利兹 DNU,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
1.1.佛得角,佛得角 DNU,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1.1.俄罗斯,俄罗斯 DNU,291.428571,277.142857,286.142857,305.428571,337.285714,306.714286,14.285714,5.154639
1.1.保加利亚,保加利亚 DNU,4.0,2.0,3.5,2.428571,1.833333,2.5,2.0,100.0
1.1.克罗地亚,克罗地亚 DNU,3.714286,2.714286,1.714286,2.0,3.571429,2.428571,1.0,36.842105
1.1.关岛,关岛 DNU,1.5,1.0,0.0,0.0,1.0,0.0,0.5,50.0
1.1.冈比亚,冈比亚 DNU,3.0,2.0,2.142857,2.857143,3.0,1.5,1.0,50.0
1.1.冰岛,冰岛 DNU,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1.1.几内亚,几内亚 DNU,3.0,1.0,1.0,1.0,0.0,1.0,2.0,200.0
1.1.几内亚比绍,几内亚比绍 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.列支敦士登,列支敦士登 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.刚果共和国,刚果共和国 DNU,1.0,0.0,0.0,1.0,1.0,0.0,1.0,
1.1.刚果民主共和国,刚果民主共和国 DNU,1.0,2.0,1.0,1.0,1.333333,1.0,-1.0,-50.0
1.1.利比亚,利比亚 DNU,1.0,1.0,1.0,1.0,1.0,1.333333,0.0,0.0
1.1.利比里亚,利比里亚 DNU,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.1.加拿大,加拿大 DNU,200.428571,343.428571,129.857143,284.285714,300.857143,273.142857,-143.0,-41.638935
